Title,Note,URL,Comment
Martin's Beach,,https://www.google.com/maps/place/Martin's+Beach/data=!4m2!3m1!1s0x808f090cb6271353:0x3d9391e735ac292a,
Edel Custom Tailor,Specializes in tailoring for designer clothing,https://www.google.com/maps/place/Edel+Custom+Tailor/data=!4m2!3m1!1s0x808f7e04955ff59b:0x88bd14cb5a2aba8c,
Richmond New May Wah Supermarket,Very cheap supermarket for produce,https://www.google.com/maps/place/Richmond+New+May+Wah+Supermarket/data=!4m2!3m1!1s0x8085873db147a32b:0x529433494d60755,
City Lights Booksellers & Publishers,Famous bookstore of the Beat generation,https://www.google.com/maps/place/City+Lights+Booksellers+%26+Publishers/data=!4m2!3m1!1s0x808580f47ce86ef5:0xa2f0156e1760483e,
Cookin',Vintage and secondhand cookware piled high. Endearingly cranky owner,https://www.google.com/maps/place/Cookin'/data=!4m2!3m1!1s0x808580af175a8057:0xe4c1af49968352c,
Purple Star MD,,https://www.google.com/maps/place/Purple+Star+MD/data=!4m2!3m1!1s0x808f7e3ec9ce12cb:0x2468d8f19f372ac4,
Sui Generis Designer Consignment,,https://www.google.com/maps/place/Sui+Generis+Designer+Consignment/data=!4m2!3m1!1s0x808f7e1c444606bd:0xa7d33ebe44df5644,
Misdirections Magic Shop,,https://www.google.com/maps/place/Misdirections+Magic+Shop/data=!4m2!3m1!1s0x8085875cfc410b6f:0x556cd00f3501a075,
Amoeba Music,,https://www.google.com/maps/place/Amoeba+Music/data=!4m2!3m1!1s0x808587517f1084e5:0x4a3a1ab258bba13c,
Heath Ceramics,,https://www.google.com/maps/place/Heath+Ceramics/data=!4m2!3m1!1s0x808f7e309390086f:0x23dd2d9ea5e4d52e,
Ministry of Scent,,https://www.google.com/maps/place/Ministry+of+Scent/data=!4m2!3m1!1s0x808f7e3c2a70b5df:0x5bed147aa2572438,
Fellow,,https://www.google.com/maps/place/Fellow/data=!4m2!3m1!1s0x808f7e3d06f2c1ff:0xf67e23a69a761294,
Bernal Cutlery,,https://www.google.com/maps/place/Bernal+Cutlery/data=!4m2!3m1!1s0x808f7e5bfe0b4d43:0x13c52491a71d9de0,
