Title,Note,URL,Comment
TRSC International LASIK Center,,https://www.google.com/maps/place/TRSC+International+LASIK+Center/data=!4m2!3m1!1s0x30e29f258aba6d0f:0x41e5d338f0fbc4dc,
Bangkok Mediplex,,https://www.google.com/maps/place/Bangkok+Mediplex/data=!4m2!3m1!1s0x30e29fa53f74d52f:0xf31e64b0157743de,
Chungking Mansions,,https://www.google.com/maps/place/Chungking+Mansions/data=!4m2!3m1!1s0x340400f212439db5:0xa5076249cb4b8344,
Bangkok Physiotherapy Center (BPC Physio),,https://www.google.com/maps/place/Bangkok+Physiotherapy+Center+(BPC+Physio)/data=!4m2!3m1!1s0x30e29fe3d8ee1309:0xf773c24bb29c9d3f,
Hurrem Sultan Hammam,,https://www.google.com/maps/place/Hurrem+Sultan+Hammam/data=!4m2!3m1!1s0x14cab9bdb5a68569:0xad5ddcfa6736bab5,
Coloured Houses of Balat,,https://www.google.com/maps/place/Coloured+Houses+of+Balat/data=!4m2!3m1!1s0x14cabb7e926929b5:0xc62a0bca54b6f7b0,
Suleymaniye Mosque,,https://www.google.com/maps/place/Suleymaniye+Mosque/data=!4m2!3m1!1s0x14cab98d3ac01031:0x8accf5042157cfed,
Hostel Le Banc,,https://www.google.com/maps/place/Hostel+Le+Banc/data=!4m2!3m1!1s0x14cab9e72e432993:0x79d3b9ab5f608dfd,
il Cantico,,https://www.google.com/maps/place/il+Cantico/data=!4m2!3m1!1s0x132f60721d3ab5dd:0x7dc7e822ef185e84,
Bormio,,https://www.google.com/maps/place/Bormio/data=!4m2!3m1!1s0x47830f7446b301db:0x932b43a63d97f711,
San Rocco,,https://www.google.com/maps/place/San+Rocco/data=!4m2!3m1!1s0x4783721b054a0df5:0x2fb138f7260f7b6c,
San Bernardino Pass,https://www.epikdrives.com/best-drives/san-bernardino-pass,https://www.google.com/maps/place/San+Bernardino+Pass/data=!4m2!3m1!1s0x4784f8e279e7ba4b:0xb069300277121b17,
Albula Pass,https://www.epikdrives.com/best-drives/albula-pass,https://www.google.com/maps/place/Albula+Pass/data=!4m2!3m1!1s0x4783629b37dec45b:0x7a3eaf2638891354,
Hahntennjoch,https://www.epikdrives.com/best-drives/hahntennjoch-pass,https://www.google.com/maps/place/Hahntennjoch/data=!4m2!3m1!1s0x479ce8362051e587:0x1d009758230a43e0,
Flüela Pass,https://www.epikdrives.com/best-drives/fluela-pass,https://www.google.com/maps/place/Fl%C3%BCela+Pass/data=!4m2!3m1!1s0x47835f036d0b209d:0x21ddde366a1644a4,
Stelvio Pass,https://www.epikdrives.com/best-drives/stelvio-pass,https://www.google.com/maps/place/Stelvio+Pass/data=!4m2!3m1!1s0x47831ae455181c1d:0x1d0709882e83eb60,
Marienbrücke,,https://www.google.com/maps/place/Marienbr%C3%BCcke/data=!4m2!3m1!1s0x479c589fce6e6503:0x5d2bf16941312d57,
"48°21'12.1""N 11°47'05.7""E 48.353348, 11.784928",,"https://www.google.com/maps/search/48.3533478,11.7849283",
Eco-Express,,https://www.google.com/maps/place/Eco-Express/data=!4m2!3m1!1s0x479ddf92337e4191:0xc6b9c696414dbb6a,
Blauensteinerstrasse,Anï’s house,https://www.google.com/maps/place/Blauensteinerstrasse/data=!4m2!3m1!1s0x4791b850bf69f693:0xf41e2ceff47cf1b5,
Gambino Hotel Werksviertel,,https://www.google.com/maps/place/Gambino+Hotel+Werksviertel/data=!4m2!3m1!1s0x479ddf8437ec9737:0xbe59022e2ba12407,
Walter-Gropius-Straße 21,,https://www.google.com/maps/place/Walter-Gropius-Stra%C3%9Fe+21/data=!4m2!3m1!1s0x479e744901304f9f:0xa5287396afeffa8b,
Werinherstraße 95B,Walk thru 95A,https://www.google.com/maps/place/Werinherstra%C3%9Fe+95B/data=!4m2!3m1!1s0x479ddf9ed0460105:0x758eb203292d399b,
Balanstraße 71a,,https://www.google.com/maps/place/Balanstra%C3%9Fe+71a/data=!4m2!3m1!1s0x479ddf9b8656df03:0xef7a5d0e83098d09,
München Hbf,,https://www.google.com/maps/place/M%C3%BCnchen+Hbf/data=!4m2!3m1!1s0x479e75fec5b151b9:0x43ec2bf2c2451cc2,
915 Haight St,,https://www.google.com/maps/place/915+Haight+St/data=!4m2!3m1!1s0x808580a8ce891cf5:0x3d020373c12dfebb,
Tầng 2,,https://www.google.com/maps/place/T%E1%BA%A7ng+2/data=!4m2!3m1!1s0x3135abb8a6bf1157:0x7688118135d38c05,
Lotus Field Homestay,,https://www.google.com/maps/place/Lotus+Field+Homestay/data=!4m2!3m1!1s0x31367b9b3852be5b:0x1a4560cf2811f8d2,
Meander Taipei Hostel 台北漫步旅店|休息480元起| 近西門電影街| 西門徒步區| 西門錢櫃好樂迪| 超大交誼空間,,https://www.google.com/maps/place/Meander+Taipei+Hostel+%E5%8F%B0%E5%8C%97%E6%BC%AB%E6%AD%A5%E6%97%85%E5%BA%97%7C%E4%BC%91%E6%81%AF480%E5%85%83%E8%B5%B7%7C+%E8%BF%91%E8%A5%BF%E9%96%80%E9%9B%BB%E5%BD%B1%E8%A1%97%7C+%E8%A5%BF%E9%96%80%E5%BE%92%E6%AD%A5%E5%8D%80%7C+%E8%A5%BF%E9%96%80%E9%8C%A2%E6%AB%83%E5%A5%BD%E6%A8%82%E8%BF%AA%7C+%E8%B6%85%E5%A4%A7%E4%BA%A4%E8%AA%BC%E7%A9%BA%E9%96%93/data=!4m2!3m1!1s0x3442a906290fc6ef:0xfb8634fc5ba0857e,
UNPLAN Kagurazaka,,https://www.google.com/maps/place/UNPLAN+Kagurazaka/data=!4m2!3m1!1s0x60188cff41510001:0xf671cd162d97ae67,
