Title,Note,URL,Comment
Erge Chicken Rice Noodles,,https://www.google.com/maps/place/Erge+Chicken+Rice+Noodles/data=!4m2!3m1!1s0x3720ca6aafeeae0f:0xea6df3e75ae9148c,
Apo Cured Spare Ribs 7 Branch,delicious cured pork ribs (Lijiang specialty) served hotpot style. Hearty and warming. The meat has an interesting funky taste from the curing process,https://www.google.com/maps/place/Apo+Cured+Spare+Ribs+7+Branch/data=!4m2!3m1!1s0x3720ca3fd0a7b019:0xbdad9fe9d2dd4444,
Seliaomu Wandou Bean Jelly Store,Halal restaurant. Local popular for its cold noodles. Spicy sweet sour mala all in one,https://www.google.com/maps/place/Seliaomu+Wandou+Bean+Jelly+Store/data=!4m2!3m1!1s0x3727b8af97e17311:0xcd939fffcd6a48c9,
Or Tor Kor Market,,https://www.google.com/maps/place/Or+Tor+Kor+Market/data=!4m2!3m1!1s0x30e29c141ea782c3:0xef703d7f3769af76,
Khaing Khaing Kyaw (Khlong Toei Market) Branch,Really authentic Burmese food on the second floor of Khlong Toei (they primarily make food to serve the Burmese migrant workers in the market so you know its the real deal),https://www.google.com/maps/place/Khaing+Khaing+Kyaw+(Khlong+Toei+Market)+Branch/data=!4m2!3m1!1s0x30e29f729ce9e28f:0xc7fbb5cee8f7baa0,
NO NAME NOODLE BKK,"Really really good dipping ramen, bar seating only. It has an izakaya vibe. The flavors are so strong and fresh and the noodles are so addictingly chewy. The restaurant only sits like 10 people so you need reservations. Reservations open Sunday 9am and sell out very fast.",https://www.google.com/maps/place/NO+NAME+NOODLE+BKK/data=!4m2!3m1!1s0x30e29f921fe481db:0xd15f90f34d51e409,
Gema's Cafe,,https://www.google.com/maps/place/Gema's+Cafe/data=!4m2!3m1!1s0x80b898d181d370fd:0x6bfd53f74a400ea2,
ทะเลดองร้านนี้20บาท เจ้าของเดียวกับสยาม,Specializes in marinated seafood topped over rice. Interesting but probably wouldn’t get agaib,https://www.google.com/maps/place/%E0%B8%97%E0%B8%B0%E0%B9%80%E0%B8%A5%E0%B8%94%E0%B8%AD%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%99%E0%B8%B5%E0%B9%8920%E0%B8%9A%E0%B8%B2%E0%B8%97+%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B8%81%E0%B8%B1%E0%B8%9A%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1/data=!4m2!3m1!1s0x30e29fbe7ddbc823:0x3cf8b0aa5976c51a,
Maan Muang,,https://www.google.com/maps/place/Maan+Muang/data=!4m2!3m1!1s0x311d63d7e9b2ddf9:0x4f04af4016efcd6c,
Kolun.h,"Hainanese noodle shop, very unique bowls filled with gravy.  their noodles are like udon. No Michelin but I wouldn’t be suprised if they got one",https://www.google.com/maps/place/Kolun.h/data=!4m2!3m1!1s0x30e29913ddb0e401:0x92e85755c46b460e,
Sae Phun,,https://www.google.com/maps/place/Sae+Phun/data=!4m2!3m1!1s0x30e2993808f11e4d:0xa5cb6c6daa9c1e5c,
Trok Mor Morning Market,,https://www.google.com/maps/place/Trok+Mor+Morning+Market/data=!4m2!3m1!1s0x30e29910fb0d77bf:0x7326d03d1c09a1f0,
Lim Pork Leg Buffet,"All you can eat pork leg rice for 79thb. Includes all the sides. Worth it just for one plate, but you can refill!",https://www.google.com/maps/place/Lim+Pork+Leg+Buffet/data=!4m2!3m1!1s0x30e29f002297d747:0x5089b9a5ac44c11b,
