Title,Note,URL,Comment
Electric Lady Studios,,https://www.google.com/maps/place/Electric+Lady+Studios/data=!4m2!3m1!1s0x89c25996c8a3f689:0xeec21231d7af3c86,
Cafe Wha?,,https://www.google.com/maps/place/Cafe+Wha%3F/data=!4m2!3m1!1s0x89c259922a0f1d41:0x871f2073371fb93e,
New York Botanical Garden,,https://www.google.com/maps/place/New+York+Botanical+Garden/data=!4m2!3m1!1s0x89c2f37cb80715c9:0xd73f5ca83441153f,
Red Rooster,,https://www.google.com/maps/place/Red+Rooster/data=!4m2!3m1!1s0x89c2f60d270bc615:0xa326bd13f740fe9c,
Upside Pizza,,https://www.google.com/maps/place/Upside+Pizza/data=!4m2!3m1!1s0x89c259f73c951f59:0x9f1ada2bba8910,
Thái Sơn,,https://www.google.com/maps/place/Th%C3%A1i+S%C6%A1n/data=!4m2!3m1!1s0x89c25a2746e0907b:0xb8f2fdea11f8b42d,
Champion Pizza SoHo,,https://www.google.com/maps/place/Champion+Pizza+SoHo/data=!4m2!3m1!1s0x89c25988dc90e369:0x918de7164aa03ab5,
Museum of the Moving Image,,https://www.google.com/maps/place/Museum+of+the+Moving+Image/data=!4m2!3m1!1s0x89c25f2550f21f03:0x58db958504446c43,
Vanessa's Dumpling House,,https://www.google.com/maps/place/Vanessa's+Dumpling+House/data=!4m2!3m1!1s0x89c259870a09f43d:0x5fc7a06738d91765,
Beauty & Essex,,https://www.google.com/maps/place/Beauty+%26+Essex/data=!4m2!3m1!1s0x89c259816f936025:0x521cae9480c7ee2d,
Brooklyn Museum,,https://www.google.com/maps/place/Brooklyn+Museum/data=!4m2!3m1!1s0x89c25b0a449c39c9:0xc62355aa46c985fa,
New York Transit Museum,,https://www.google.com/maps/place/New+York+Transit+Museum/data=!4m2!3m1!1s0x89c25a55356a3875:0xe3b6af03517c4e16,
Bill's Place,,https://www.google.com/maps/place/Bill's+Place/data=!4m2!3m1!1s0x89c2f673df00d011:0x3c258a3d055a5a76,
Fat Cat,,https://www.google.com/maps/place/Fat+Cat/data=!4m2!3m1!1s0x89c259947eaab2dd:0x52bfaaf1f898bd17,
Wo Hop,,https://www.google.com/maps/place/Wo+Hop/data=!4m2!3m1!1s0x89c25bc75da461ff:0x89d633602e01b7d3,
Queens Night Market,,https://www.google.com/maps/place/Queens+Night+Market/data=!4m2!3m1!1s0x89c25fdaf64740e7:0x77560c780fbedd10,
Absolute Bagels,,https://www.google.com/maps/place/Absolute+Bagels/data=!4m2!3m1!1s0x89c2f63b33ef6d2d:0xc0c3585923a7de1a,
Conservatory Garden,,https://www.google.com/maps/place/Conservatory+Garden/data=!4m2!3m1!1s0x89c2f61c3c27bd87:0xdb3f4fd3118f45ec,
Roof at Park South,,https://www.google.com/maps/place/Roof+at+Park+South/data=!4m2!3m1!1s0x89c259a7801a71bb:0x3d1d7e6a809b45a6,
Jeffrey's Grocery,,https://www.google.com/maps/place/Jeffrey's+Grocery/data=!4m2!3m1!1s0x89c259941832c263:0x152cca7850117d5b,
Lucali,,https://www.google.com/maps/place/Lucali/data=!4m2!3m1!1s0x89c25a593142dedf:0xf29a33ff1f0b6ab7,
Arepera Guacuco,,https://www.google.com/maps/place/Arepera+Guacuco/data=!4m2!3m1!1s0x89c25c02d5e2cb03:0xee148c50715740b1,
Paulie Gee's,,https://www.google.com/maps/place/Paulie+Gee's/data=!4m2!3m1!1s0x89c259403300cfb9:0xc1b6a5ae4bb699b6,
The Noguchi Museum,,https://www.google.com/maps/place/The+Noguchi+Museum/data=!4m2!3m1!1s0x89c258caec1c9d51:0xdf2f973033a2c487,
Please Don't Tell,,https://www.google.com/maps/place/Please+Don't+Tell/data=!4m2!3m1!1s0x89c2599d65feae6f:0x9d16a571af581047,
Poco,,https://www.google.com/maps/place/Poco/data=!4m2!3m1!1s0x89c25978820f317f:0x87b9db297ecf0e87,
Mace,,https://www.google.com/maps/place/Mace/data=!4m2!3m1!1s0x89c25977448ab0db:0xb5f9e20a45e1c900,
McSorley's Old Ale House,,https://www.google.com/maps/place/McSorley's+Old+Ale+House/data=!4m2!3m1!1s0x89c2599b7792d019:0xd1aabb33cbcc8b7d,
Bemelmans Bar,,https://www.google.com/maps/place/Bemelmans+Bar/data=!4m2!3m1!1s0x89c25894f6830e11:0xa96f889c0194ea4b,
Angel's Share,,https://www.google.com/maps/place/Angel's+Share/data=!4m2!3m1!1s0x89c2595740b0288b:0x992c21b7ae11bbee,
99 Favor Taste,,https://www.google.com/maps/place/99+Favor+Taste/data=!4m2!3m1!1s0x89c259879abcc2e9:0x6cc6e3f681f714c,
Temple Canteen,,https://www.google.com/maps/place/Temple+Canteen/data=!4m2!3m1!1s0x89c2603fbebd682b:0xbf191efa40922499,
Coppelia,,https://www.google.com/maps/place/Coppelia/data=!4m2!3m1!1s0x89c259bde7aeae67:0x208885887e95659c,
Momofuku Ssäm Bar,,https://www.google.com/maps/place/Momofuku+Ss%C3%A4m+Bar/data=!4m2!3m1!1s0x89c25983fc377491:0x51fd90260704236c,
Ivan Ramen,,https://www.google.com/maps/place/Ivan+Ramen/data=!4m2!3m1!1s0x89c259818b17e1ad:0x397d7608ef2c28ff,
The Spotted Pig,,https://www.google.com/maps/place/The+Spotted+Pig/data=!4m2!3m1!1s0x89c259eb2d89dcf3:0x12c76f5dfe3346f,
Szechuan Mountain House,,https://www.google.com/maps/place/Szechuan+Mountain+House/data=!4m2!3m1!1s0x89c2599c79b00001:0xef65378399982a9b,
SEARCH & DESTROY,,https://www.google.com/maps/place/SEARCH+%26+DESTROY/data=!4m2!3m1!1s0x89c2599c7be31789:0x96d0049208db4664,
Park Avenue Armory,,https://www.google.com/maps/place/Park+Avenue+Armory/data=!4m2!3m1!1s0x89c258ec1d12be39:0x3a5703026dd58661,
Seagram Building,,https://www.google.com/maps/place/Seagram+Building/data=!4m2!3m1!1s0x89c258fb5f511fcf:0x2137560fcdec5d3c,
Whitney Museum of American Art,,https://www.google.com/maps/place/Whitney+Museum+of+American+Art/data=!4m2!3m1!1s0x89c25894ea097337:0xc63f52f9d53d7889,
The Frick Collection,,https://www.google.com/maps/place/The+Frick+Collection/data=!4m2!3m1!1s0x89c258eceefd111d:0xd88ef5290f5e20e8,
Tony's Beechhurst Deli,,https://www.google.com/maps/place/Tony's+Beechhurst+Deli/data=!4m2!3m1!1s0x89c28aed9d7df4f9:0xbe0765492cf4c079,
