Title,Note,URL,Comment
Ostia Antica,,https://www.google.com/maps/place/Ostia+Antica/data=!4m2!3m1!1s0x1325f04cc8b39125:0xba9afde704ea384a,
Basilica di Santa Cecilia in Trastevere,,https://www.google.com/maps/place/Basilica+di+Santa+Cecilia+in+Trastevere/data=!4m2!3m1!1s0x1325f67fa1e4ca39:0x51712c6212f628af,
Piazza Navona,Some of the best people watching in Rome,https://www.google.com/maps/place/Piazza+Navona/data=!4m2!3m1!1s0x132f6083c19d1c3d:0xa35724562e82334a,
Portico of Octavia,,https://www.google.com/maps/place/Portico+of+Octavia/data=!4m2!3m1!1s0x132f6049457431a5:0x5d73532f3eb9c950,
Janiculum Hill,,https://www.google.com/maps/place/Janiculum+Hill/data=!4m2!3m1!1s0x132f60401d9c9df9:0xcfd56f4c39fc5cf,
Basilica of San Clemente,"Really interesting bit of history. First it’s an active church from the 12th century. The church itself is very beautiful and sometimes you can even see the priest doing services there but it’s built on top of a church from the fourth century which itself was built on top of another church from the first century. 

As your step through the various churches, you’re stepping back in time, and you realize how Rome was built and rebuilt, and the foundations were filled then refilled overtime.",https://www.google.com/maps/place/Basilica+of+San+Clemente/data=!4m2!3m1!1s0x132f61b84d7e5de9:0x97e138e66d21b151,
Spanish Steps,,https://www.google.com/maps/place/Spanish+Steps/data=!4m2!3m1!1s0x132f60541678ae75:0x7fc0d4978aae690f,
Via del Corso,"It’s a shopping street, but they close it at night for pedestrians. Go people watch there ",https://www.google.com/maps/place/Via+del+Corso/data=!4m2!3m1!1s0x132f6053f4560eaf:0x92dc2249ee91dd51,
Campo de' Fiori,Plaza with a day market,https://www.google.com/maps/place/Campo+de'+Fiori/data=!4m2!3m1!1s0x132f6055a903cf7d:0x1808fc7ca708f2c4,
San Luigi dei Francesi,Incredibly decadent church with 3 huge Caravaggio paintings,https://www.google.com/maps/place/San+Luigi+dei+Francesi/data=!4m2!3m1!1s0x132f60502e82012d:0x22b3fa4bf22984b9,
Basilica of Saint Mary of Minerva,Quick pop in to check out a Michelangelo statue,https://www.google.com/maps/place/Basilica+of+Saint+Mary+of+Minerva/data=!4m2!3m1!1s0x132f604e0c1fe953:0x4ec75fd47747b4d4,
Arch of Constantine,It’s right next to the Colosseum and it’s actually gorgeous… people don’t notice and just walk right past it. The carvings and the ornamentation is just so detailed,https://www.google.com/maps/place/Arch+of+Constantine/data=!4m2!3m1!1s0x132f61b6638ccc9f:0x9559ad432c2467a0,
